county,state,population,median_income,poverty_rate,unemployment_rate,pct_bachelors,median_age
Upperport,Ohio,158812,41012,23.1,4.9,16,42.3
Unionburg,Ohio,100246,73518,19.5,8.6,32.3,36.2
Cedarport,Ohio,26988,56111,16.1,7.5,25.9,34.2
Blackland,Ohio,109258,51540,21.9,4.9,24.3,42.5
Pinevale,Ohio,236094,63684,22.5,4,29.3,37.5
Blackton,Ohio,140922,60688,15,3.7,18.2,39.2
Whiteport,Ohio,96359,35994,27.3,6.5,13,43.2
Upperbrook,Ohio,198558,35074,32.6,4.9,15.9,41.5
Grandview,Ohio,193723,72752,17.5,6.6,31.6,34.1
Northport,Ohio,31962,37881,22.2,8,16.1,42.6
Whiteford,Ohio,193469,40804,22.3,6.5,11.9,39.1
Northbrook,Ohio,151323,39553,27.3,8.3,14.5,38.4
Springford,Ohio,64287,70687,20.9,3.4,27.4,42.7
Springhill,Ohio,194182,69247,18.6,8.9,33.9,34.1
Lowervale,Ohio,241166,56898,25.2,7.4,19.3,42.2
Mountport,Ohio,74668,41881,23.7,8.6,14.8,32.6
Southwood,Ohio,239700,45472,21.6,5.8,14.4,43
Mapleton,Ohio,62962,57226,26.9,8.9,18.5,35.2
Southvale,Ohio,66409,65984,19.2,7.8,33.4,35
Eastton,Ohio,76756,53721,19.7,7.4,24.6,35.6
Libertywood,Ohio,207244,74039,20.1,7.6,24,34.2
Southview,Ohio,22633,59066,23.4,8.4,30.6,36.8
Redfield,Ohio,230121,72271,20.8,5.9,37.4,36
Riverwood,Ohio,57964,42575,19.1,8.8,13.7,42.3
Blackburg,Ohio,146812,71000,22.5,3.7,21.4,35.2
Oakhill,Ohio,16048,64060,20.1,6.9,19.4,42.8
Fairport,Ohio,189977,67027,14.7,6.6,26.8,39.6
Goldenport,Georgia,178799,44423,24.5,4.5,18.7,32.8
Eastwood,Georgia,328074,59382,19.3,6.4,25.4,41.9
Libertyland,Georgia,335341,78324,13.9,7.7,32.1,33.4
Fairville,Georgia,203979,41226,19.8,6.3,17.5,28.8
Grandport,Georgia,209942,48451,17.8,8.5,16.2,34
Springwood,Georgia,283566,60633,26.7,8.6,20.4,38.2
Redport,Georgia,64713,49846,22.2,7.8,21.5,39.5
Cedarview,Georgia,280984,51642,24.9,8.1,15.1,36.7
Goldenhill,Georgia,272422,63194,20.5,9.1,18.9,28.7
Southport,Georgia,55886,77840,17.9,5.8,24.7,29.9
Libertydale,Georgia,216401,71410,16.9,5.2,28.3,41.6
Bluefield,Georgia,272487,39009,21.7,3.5,16.8,35.1
Springhill,Georgia,329135,58327,18.3,4.1,28.9,29.8
Pinedale,Georgia,17907,52315,23.3,9.9,21.3,39
Silverridge,Georgia,305398,68292,18.3,3.2,26.1,42
Goldenwood,Georgia,272573,75631,16.3,9,30.4,38.9
Westland,Georgia,273479,78075,16.4,9,35.9,38.4
Cedarfield,Georgia,335938,65597,24,6.5,35.1,33.4
Grandridge,Georgia,189110,61858,17,7.2,28.5,40.9
Greenbrook,Georgia,343292,77391,19.5,3.5,34.1,28.9
Oakdale,Georgia,320514,39362,18.8,3.7,18.8,40.3
Lakeville,Georgia,282082,41173,22.7,5.6,20.8,39.5
Riverville,Georgia,316694,53486,23.8,5.6,27.7,41
Cedarland,Georgia,222610,76130,21.7,9.2,37.6,28.6
Grandton,Georgia,122496,70858,17.5,7,35.1,38.5
Libertyhill,Georgia,278181,40614,19.5,6.6,19.2,32.2
Whiteridge,Georgia,220313,46309,27,8.9,16,35.8
Lowerbrook,Georgia,216911,71496,18,6.1,36.8,30.9
Pinebrook,Georgia,179505,78374,21.1,6.7,25.9,31.8
Fairfield,Georgia,140407,40553,23.4,8,20.7,38.3
Royalville,Colorado,197949,58514,13.3,5,28.5,34.8
Lakeview,Colorado,50459,92645,10.4,2.3,46.4,37.6
Northview,Colorado,139790,93484,13.4,4.6,57.6,34.3
Cedarhill,Colorado,104713,82611,11.5,2.8,28,35.3
Eastbrook,Colorado,142571,87154,14.5,4.8,45.3,36.6
Fairford,Colorado,203590,88514,8.4,6.7,41.8,39.2
Libertyridge,Colorado,33544,59024,11.5,6.4,35.4,35.2
Goldencreek,Colorado,87259,92269,14.5,2.8,50.5,38.9
Newhill,Colorado,41404,80568,15.4,5.8,38.4,35.3
Oakburg,Colorado,135724,52389,18.5,2.8,27.1,38.5
Fairville,Colorado,87647,62571,14.7,4.5,32.3,38.4
Oakland,Colorado,149914,51834,15.2,4.2,18.6,39.9
Greenview,Colorado,236730,67649,17.2,3.3,26.2,30.3
Whitecreek,Colorado,145774,79031,15,6.7,48.3,35.6
Unionford,Colorado,238472,59658,12.5,3.8,31.7,37.6
Blackwood,Colorado,226334,93590,11.8,3,55.3,30.5
Springview,Colorado,130861,85958,11,5.9,36.6,38.7
Blueton,Colorado,79118,93098,8.3,6,40.6,37.8
Libertyview,Colorado,202101,91715,9,4.6,36.4,33.7
Southton,Colorado,97483,73373,11.9,4.7,41.9,30.5
Cedarvale,Colorado,15207,53234,17.7,6.9,20,34.4
Fairvale,Colorado,148955,87597,11.6,3.7,47.8,37.3
Oldford,Colorado,73632,93637,11.5,5.7,34.6,32.4
Fairbrook,Colorado,246542,83286,10.8,3.8,48.2,32.6
Pleasantfield,Colorado,204141,56723,13.4,6.6,30.9,40
