order_date,year_month,category,subcategory,region,revenue,quantity
2023-03-02,2023-03,Sports,Fitness,Midwest,542.73,2
2023-03-01,2023-03,Clothing,Shirts,Northeast,65.7,2
2023-03-10,2023-03,Electronics,Phones,West,2698.03,3
2023-03-24,2023-03,Home,Furniture,Southeast,1458.12,2
2023-03-17,2023-03,Electronics,Laptops,Southeast,2773.1,3
2023-03-02,2023-03,Home,Lighting,Midwest,305.23,2
2023-03-24,2023-03,Clothing,Pants,Southeast,66.09,1
2023-03-16,2023-03,Home,Lighting,Southeast,254.37,2
2023-03-12,2023-03,Home,Lighting,Southeast,317.13,3
2023-03-02,2023-03,Sports,Fitness,Northeast,1180.2,4
2023-03-07,2023-03,Home,Kitchen,West,324.82,4
2023-03-03,2023-03,Electronics,Headphones,Northeast,133.56,2
2023-03-01,2023-03,Home,Lighting,Midwest,269.35,4
2023-03-26,2023-03,Electronics,Laptops,West,2945.78,2
2023-03-07,2023-03,Home,Lighting,Midwest,89.09,1
2023-03-30,2023-03,Clothing,Pants,Midwest,73.08,1
2023-03-10,2023-03,Clothing,Shoes,West,415.33,4
2023-03-09,2023-03,Clothing,Shirts,West,96.02,4
2023-03-19,2023-03,Sports,Apparel,Southeast,229.26,3
2023-03-05,2023-03,Home,Furniture,Northeast,1066.42,1
2023-03-16,2023-03,Clothing,Shirts,Southeast,56.08,2
2023-04-22,2023-04,Electronics,Headphones,Southeast,196.59,3
2023-04-07,2023-04,Sports,Outdoor,Midwest,1375.48,4
2023-04-01,2023-04,Clothing,Shoes,Southeast,228.11,3
2023-04-02,2023-04,Sports,Fitness,Midwest,2067.36,4
2023-04-26,2023-04,Electronics,Laptops,Midwest,1623.65,2
2023-04-24,2023-04,Electronics,Laptops,Midwest,2257.01,3
2023-04-11,2023-04,Home,Lighting,Southeast,480.8,4
2023-04-16,2023-04,Clothing,Pants,Southeast,335.84,3
2023-04-03,2023-04,Sports,Fitness,West,664.45,2
2023-04-12,2023-04,Electronics,Laptops,West,758.16,1
2023-04-22,2023-04,Electronics,Headphones,Southeast,197.16,2
2023-04-27,2023-04,Home,Kitchen,West,429.44,3
2023-04-09,2023-04,Home,Lighting,Southeast,599.11,3
2023-04-09,2023-04,Electronics,Laptops,Northeast,4386.31,3
2023-04-05,2023-04,Home,Furniture,Midwest,3320.52,3
2023-04-25,2023-04,Sports,Fitness,Southeast,1263.43,3
2023-04-04,2023-04,Electronics,Laptops,West,958.66,1
2023-04-12,2023-04,Electronics,Laptops,Northeast,1064.44,1
2023-04-17,2023-04,Sports,Outdoor,Midwest,403.15,2
2023-04-21,2023-04,Sports,Apparel,Northeast,233.68,4
2023-04-06,2023-04,Clothing,Pants,Midwest,222.66,4
2023-04-10,2023-04,Sports,Fitness,Southeast,533.07,4
2023-04-25,2023-04,Home,Furniture,Southeast,3902.05,4
2023-04-22,2023-04,Sports,Apparel,Southeast,541.91,3
2023-04-21,2023-04,Clothing,Pants,Northeast,260.02,2
2023-04-02,2023-04,Clothing,Pants,Northeast,291.12,3
2023-04-10,2023-04,Sports,Apparel,West,114.55,2
2023-04-23,2023-04,Home,Furniture,Northeast,519.72,1
2023-04-13,2023-04,Electronics,Headphones,Northeast,217.24,1
2023-04-01,2023-04,Home,Kitchen,Midwest,868.98,4
2023-04-03,2023-04,Clothing,Pants,West,195.48,2
2023-04-23,2023-04,Clothing,Pants,Northeast,257.52,2
2023-04-06,2023-04,Sports,Outdoor,Southeast,463.32,2
2023-04-14,2023-04,Clothing,Shirts,Midwest,34.38,1
2023-04-07,2023-04,Clothing,Shirts,Northeast,180.8,2
2023-04-26,2023-04,Sports,Apparel,Southeast,516.16,3
2023-04-20,2023-04,Clothing,Shoes,West,164.05,1
2023-04-07,2023-04,Clothing,Shirts,Midwest,49.11,1
2023-04-29,2023-04,Electronics,Headphones,Southeast,128.95,1
2023-04-23,2023-04,Home,Furniture,Southeast,2069.2,3
2023-04-24,2023-04,Electronics,Phones,Midwest,304.3,1
2023-04-17,2023-04,Electronics,Phones,Midwest,729.72,3
2023-04-08,2023-04,Clothing,Shoes,Northeast,238.07,3
2023-04-15,2023-04,Sports,Fitness,West,477.78,4
2023-04-10,2023-04,Sports,Apparel,Midwest,82.75,2
2023-04-26,2023-04,Home,Kitchen,Northeast,152.3,2
2023-04-29,2023-04,Home,Kitchen,Northeast,44.93,1
2023-04-11,2023-04,Electronics,Phones,West,694.98,1
2023-04-17,2023-04,Electronics,Phones,Southeast,2705.4,4
2023-04-02,2023-04,Sports,Outdoor,Northeast,64.81,1
2023-04-30,2023-04,Sports,Fitness,West,909.68,2
2023-04-28,2023-04,Clothing,Shoes,Northeast,799.23,4
2023-04-14,2023-04,Electronics,Phones,Midwest,1375.67,2
2023-04-08,2023-04,Clothing,Pants,Midwest,191.41,2
2023-04-04,2023-04,Sports,Fitness,Northeast,828.43,3
2023-04-21,2023-04,Sports,Fitness,Midwest,959.16,2
2023-04-01,2023-04,Clothing,Pants,Northeast,88.47,1
2023-04-21,2023-04,Sports,Fitness,West,401.87,1
2023-04-18,2023-04,Electronics,Laptops,Midwest,1526.05,3
2023-04-11,2023-04,Electronics,Headphones,Midwest,211.55,3
2023-04-29,2023-04,Electronics,Headphones,West,80.89,2
2023-04-20,2023-04,Electronics,Headphones,Northeast,72.61,3
2023-04-11,2023-04,Clothing,Shirts,Midwest,141.72,2
2023-04-05,2023-04,Electronics,Laptops,West,1401.94,3
2023-04-11,2023-04,Sports,Fitness,Midwest,434.64,4
2023-04-26,2023-04,Sports,Apparel,Southeast,105.63,1
2023-04-22,2023-04,Home,Furniture,West,836.14,1
2023-04-24,2023-04,Electronics,Headphones,Southeast,802.99,4
2023-04-03,2023-04,Sports,Fitness,Southeast,1215.4,2
2023-04-17,2023-04,Electronics,Phones,Southeast,1029.11,2
2023-04-15,2023-04,Sports,Outdoor,Midwest,1675.32,4
2023-04-30,2023-04,Electronics,Phones,Northeast,302.24,1
2023-04-09,2023-04,Home,Lighting,Northeast,291.19,4
2023-04-12,2023-04,Electronics,Phones,Northeast,1104.07,2
2023-04-11,2023-04,Home,Kitchen,Northeast,910.63,3
2023-04-15,2023-04,Clothing,Shirts,Northeast,263.24,3
2023-04-12,2023-04,Sports,Outdoor,Southeast,997.41,3
2023-04-24,2023-04,Clothing,Pants,Northeast,315.08,4
2023-04-16,2023-04,Home,Kitchen,Northeast,604.44,3
2023-04-27,2023-04,Sports,Apparel,Midwest,68.62,1
2023-04-07,2023-04,Sports,Fitness,West,1028.4,2
2023-04-05,2023-04,Sports,Apparel,West,732.09,4
2023-04-28,2023-04,Electronics,Headphones,West,163.69,2
2023-04-04,2023-04,Clothing,Pants,Midwest,172.76,2
2023-04-27,2023-04,Sports,Outdoor,West,90.85,1
2023-04-20,2023-04,Sports,Apparel,Midwest,142.35,1
2023-04-19,2023-04,Sports,Apparel,West,126.68,1
2023-04-26,2023-04,Sports,Apparel,West,507.18,3
2023-05-07,2023-05,Clothing,Shoes,Southeast,377.32,4
2023-05-09,2023-05,Sports,Outdoor,Northeast,999.29,3
2023-05-01,2023-05,Sports,Fitness,Southeast,208.47,4
2023-05-31,2023-05,Home,Furniture,Northeast,2750.21,4
2023-05-04,2023-05,Electronics,Phones,Midwest,738.52,2
2023-05-04,2023-05,Sports,Outdoor,Midwest,1122.14,4
2023-05-13,2023-05,Electronics,Phones,Midwest,607.63,1
2023-05-17,2023-05,Electronics,Laptops,Southeast,910.52,1
2023-05-03,2023-05,Electronics,Headphones,Midwest,546.91,3
2023-05-05,2023-05,Home,Furniture,Southeast,3114.89,4
2023-05-10,2023-05,Electronics,Headphones,Northeast,424.13,4
2023-05-04,2023-05,Home,Furniture,West,3147.72,3
2023-05-30,2023-05,Electronics,Laptops,Southeast,2043.92,4
2023-05-11,2023-05,Clothing,Pants,Midwest,488.22,4
2023-05-16,2023-05,Home,Furniture,West,6265.73,4
2023-05-22,2023-05,Home,Furniture,Northeast,641.83,2
2023-05-06,2023-05,Clothing,Pants,Northeast,514.04,4
2023-05-25,2023-05,Home,Lighting,Midwest,322.17,4
2023-05-22,2023-05,Clothing,Shoes,West,607.94,3
2023-05-11,2023-05,Clothing,Shirts,Southeast,77.96,1
2023-05-08,2023-05,Clothing,Shoes,West,348.18,2
2023-05-12,2023-05,Clothing,Shirts,Southeast,175.63,4
2023-05-27,2023-05,Electronics,Phones,Midwest,1648.98,2
2023-05-26,2023-05,Sports,Fitness,Southeast,128.69,3
2023-05-15,2023-05,Home,Furniture,Southeast,2335.78,2
2023-05-10,2023-05,Electronics,Laptops,Southeast,827.78,1
2023-05-05,2023-05,Clothing,Pants,Southeast,121.85,1
2023-05-01,2023-05,Sports,Apparel,Northeast,367.75,2
2023-05-23,2023-05,Sports,Fitness,Midwest,1706.24,4
2023-05-28,2023-05,Sports,Outdoor,West,460.25,4
2023-05-05,2023-05,Sports,Apparel,Midwest,314.23,2
2023-05-04,2023-05,Clothing,Pants,Southeast,48.16,1
2023-05-23,2023-05,Sports,Outdoor,West,1348.29,4
2023-05-29,2023-05,Electronics,Laptops,West,2520.78,2
2023-05-26,2023-05,Electronics,Laptops,West,2457.36,2
2023-05-01,2023-05,Clothing,Shoes,West,217.34,1
2023-05-12,2023-05,Clothing,Pants,Midwest,473.74,4
2023-05-15,2023-05,Clothing,Pants,Northeast,161.7,3
2023-05-09,2023-05,Clothing,Shirts,Southeast,236.7,3
2023-05-05,2023-05,Electronics,Laptops,Midwest,4299.08,3
2023-05-29,2023-05,Clothing,Shirts,Northeast,114.43,3
2023-05-15,2023-05,Home,Furniture,Northeast,766.23,4
2023-05-08,2023-05,Home,Kitchen,Northeast,559.3,2
2023-05-20,2023-05,Clothing,Pants,Midwest,73.05,2
2023-05-18,2023-05,Electronics,Headphones,Midwest,400.36,3
2023-05-27,2023-05,Clothing,Shoes,West,191.34,3
2023-05-03,2023-05,Clothing,Pants,West,214.89,2
2023-05-09,2023-05,Home,Lighting,Midwest,224.71,4
2023-05-30,2023-05,Clothing,Pants,Midwest,281.22,3
2023-05-21,2023-05,Electronics,Phones,West,441.35,1
2023-05-14,2023-05,Clothing,Shirts,Northeast,70.82,2
2023-05-09,2023-05,Home,Furniture,West,1066.2,3
2023-05-15,2023-05,Home,Kitchen,Northeast,478.17,4
2023-05-16,2023-05,Electronics,Headphones,Southeast,136,1
2023-05-19,2023-05,Sports,Fitness,Midwest,1808.62,4
2023-05-29,2023-05,Electronics,Laptops,West,971.32,1
2023-05-30,2023-05,Sports,Outdoor,Northeast,746.03,3
2023-05-15,2023-05,Clothing,Pants,Northeast,109.42,1
2023-05-11,2023-05,Home,Kitchen,West,858.36,3
2023-05-03,2023-05,Home,Lighting,Northeast,308.67,4
2023-05-22,2023-05,Clothing,Shirts,Northeast,81.72,2
2023-05-26,2023-05,Clothing,Shirts,West,185.6,2
2023-05-16,2023-05,Electronics,Headphones,Northeast,411.9,4
2023-05-05,2023-05,Sports,Apparel,Midwest,667.15,4
2023-05-09,2023-05,Electronics,Headphones,West,161.17,3
2023-05-29,2023-05,Home,Furniture,Midwest,2195.33,3
2023-05-08,2023-05,Clothing,Pants,Midwest,431.61,3
2023-05-23,2023-05,Clothing,Pants,Southeast,143.95,1
2023-05-23,2023-05,Clothing,Shirts,Midwest,362.56,4
2023-05-07,2023-05,Clothing,Shirts,Northeast,143.12,2
2023-05-04,2023-05,Clothing,Shirts,Northeast,119.11,4
2023-05-11,2023-05,Electronics,Phones,Midwest,633.13,1
2023-05-07,2023-05,Clothing,Pants,Northeast,316.91,3
2023-05-07,2023-05,Sports,Outdoor,Midwest,413.91,1
2023-05-31,2023-05,Sports,Apparel,Southeast,574.02,3
2023-05-12,2023-05,Home,Lighting,Southeast,139.95,1
2023-05-14,2023-05,Home,Lighting,Southeast,170.12,1
2023-05-18,2023-05,Sports,Apparel,Southeast,198.18,2
2023-05-04,2023-05,Clothing,Pants,Northeast,178.65,3
2023-05-31,2023-05,Home,Kitchen,Northeast,77.52,3
2023-05-01,2023-05,Sports,Outdoor,Southeast,574.25,4
2023-06-13,2023-06,Clothing,Shoes,Midwest,335.4,2
2023-06-18,2023-06,Electronics,Headphones,Midwest,953.06,4
2023-06-11,2023-06,Clothing,Shoes,Southeast,239.62,2
2023-06-22,2023-06,Electronics,Phones,Midwest,1211.89,2
2023-06-04,2023-06,Electronics,Laptops,Northeast,1595.9,3
2023-06-03,2023-06,Electronics,Laptops,Southeast,1304.5,1
2023-06-03,2023-06,Clothing,Pants,Northeast,83.32,2
2023-06-17,2023-06,Clothing,Shoes,Midwest,138.73,1
2023-06-04,2023-06,Electronics,Headphones,Southeast,637.56,3
2023-06-18,2023-06,Sports,Outdoor,Midwest,283.14,4
2023-06-11,2023-06,Clothing,Shoes,West,273.44,3
2023-06-12,2023-06,Home,Lighting,Midwest,527.36,3
2023-06-13,2023-06,Home,Kitchen,Midwest,101.95,3
2023-06-02,2023-06,Clothing,Shoes,Southeast,375.05,2
2023-06-11,2023-06,Home,Furniture,Northeast,875.28,3
2023-06-15,2023-06,Electronics,Headphones,Southeast,61.89,1
2023-06-13,2023-06,Clothing,Shirts,Southeast,71.92,1
2023-06-03,2023-06,Clothing,Pants,Midwest,106.62,2
2023-06-12,2023-06,Home,Lighting,Southeast,205.06,1
2023-06-04,2023-06,Electronics,Laptops,Southeast,4434.69,4
2023-06-14,2023-06,Electronics,Headphones,Midwest,120.14,2
2023-06-22,2023-06,Home,Furniture,West,3910.27,4
2023-06-11,2023-06,Home,Lighting,Northeast,172.91,1
2023-06-17,2023-06,Electronics,Headphones,Northeast,47.26,1
2023-06-19,2023-06,Electronics,Laptops,West,1365.82,2
